SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,259402,"PARAF SEXT INOX 3/8 X 5"" UNC",,Almox Prod Especiais
MP,,259768,PARAF SEX Z M6 X 20,,Almox Prod Especiais
MP,,259770,PARAF SEX M5 X 20,,Almox Prod Especiais
MP,,260071,PARAF SEX 5/8 X 2 UNC ZB,,Almox Prod Especiais
MP,,260101,PARAF SEX 1/2 X 1.1/2 UNC ZB,,Almox Prod Especiais
MP,,260113,PARAF SEX 1/2 X 1 UNC ZB,,Almox Prod Especiais
MP,,260137,PARAF SEX 5/8 X 2.1/4 UNC,,Almox Prod Especiais
MP,,260174,PARAF SEX 1/2 X 1.3/4 8.8UNF,,Almox Prod Especiais
MP,,260204,PARAF SEX 5/8 X 1.1/4 UNF,,Almox Prod Especiais
MP,,260265,PARAF SEX 1/2 X 1.1/4 8.8UNC ZB,,Almox Prod Especiais
MP,,260277,PARAF SEX 1/2 X 1.1/2 8.8UNC,,Almox Prod Especiais
MP,,260307,PARAF SEX 5/8 X 3.1/2 8.8UNF ZB,,Almox Prod Especiais
MP,,260309,"PARAF SEX 5/8 X 3.1/2"" UNC",,Almox Prod Especiais
MP,,260311,"PARAF SEXT 5/8 X 3"" G5 (8.8) UNC R.I",,Almox Prod Especiais
MP,,260461,PARAF SEX 3/8 X 2.3/4 UNC,,Almox Prod Especiais
MP,,260526,PARAF SEX 1/2 X 4 - UNC,,Almox Prod Especiais
MP,,260600,PARAF SEX 5/8 X 4.1/2 UNC,,Almox Prod Especiais
MP,,260666,PARAF SEX 1/2 X 1.3/4 UNC ZB,,Almox Prod Especiais
MP,,260812,PARAF SEX 5/16X 1/2 UNC,,Almox Prod Especiais
MP,,260824,PARAF SEX 5/8 X 2.1/2 UNC,,Almox Prod Especiais
MP,,260836,PARAF SEX 1/2 X 2.1/4 8.8UNC ZB,,Almox Prod Especiais
MP,,260940,PARAF SEX 1 X 7 UNC,,Almox Prod Especiais
MP,,260941,"PARAF SEX 1 X 9"" UNC",,Almox Prod Especiais
MP,,260988,PARAF SEX 5/8 X 1.3/4 UNC ZB,,Almox Prod Especiais
MP,,268408,PNEU 4.80/4.00X8 LEV B (CÓD.14749),,Almox Prod Especiais
MP,,268410,PNEU RODOV. 650 X16 CT52 6 Pr - 06 LONAS,,Almox Prod Especiais
MP,,272103,PORCA CAST 5/8 ALT 13.59 UNF,,Almox Prod Especiais
MP,,272152,"PORCA CAST. DE 3/4"" UNF ZB",,Almox Prod Especiais
MP,,272402,"PORCA CAST. DE 1"" UNC ZB",,Almox Prod Especiais
MP,,272403,"PORCA AC SX OSC C32/AA29 M22X1,50 CL10 CÓD. 79415 (7/8"" UNF)",,Almox Prod Especiais
